Frame,Visibility,X,Y
0,1,788,457
1,1,788,457
2,1,789,457
3,1,789,457
4,1,790,457
5,1,792,456
6,1,794,455
7,1,796,454
8,1,798,452
9,1,801,451
10,1,802,449
11,1,802,447
12,1,802,447
13,1,801,448
14,1,800,448
15,1,799,449
16,1,798,448
17,1,798,449
18,1,797,449
19,1,796,449
20,1,797,449
21,1,796,449
22,1,798,449
23,1,797,449
24,1,796,448
25,1,796,447
26,1,797,447
27,1,797,447
28,1,798,446
29,1,798,446
30,1,798,445
31,1,799,445
32,1,800,444
33,1,800,443
34,1,802,442
35,1,801,442
36,1,801,441
37,1,801,441
38,1,801,441
39,1,801,441
40,1,801,441
41,1,801,441
42,1,800,441
43,1,798,442
44,1,796,441
45,1,796,441
46,1,795,442
47,1,794,441
48,1,792,441
49,1,791,441
50,1,790,441
51,1,790,443
52,1,788,442
53,1,785,443
54,1,784,443
55,1,783,443
56,1,782,444
57,1,780,444
58,1,778,444
59,1,776,444
60,1,775,444
61,1,774,445
62,1,773,445
63,1,771,445
64,1,769,445
65,1,768,445
66,1,766,445
67,1,765,445
68,1,764,445
69,1,762,445
70,1,762,445
71,1,760,444
72,1,760,445
73,1,760,445
74,1,757,445
75,1,757,445
76,1,755,443
77,1,755,443
78,1,752,443
79,1,751,443
80,1,748,442
81,1,747,441
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,1,750,433
87,1,751,430
88,1,755,426
89,1,761,422
90,1,769,416
91,1,780,406
92,1,796,391
93,1,810,371
94,1,821,344
95,1,829,313
96,1,828,278
97,1,825,245
98,1,822,212
99,1,819,183
100,1,817,154
101,1,814,129
102,1,811,103
103,1,808,79
104,1,804,59
105,1,802,39
106,1,798,20
107,1,794,5
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,1,745,0
123,1,742,12
124,1,739,29
125,1,735,46
126,1,732,66
127,1,719,91
128,1,672,127
129,1,643,151
130,1,621,171
131,1,604,186
132,1,590,198
133,1,579,209
134,1,570,218
135,1,561,227
136,1,554,235
137,1,548,241
138,1,541,247
139,1,535,254
140,1,530,251
141,1,526,240
142,1,523,229
143,1,517,222
144,1,514,215
145,1,510,210
146,1,505,204
147,1,503,199
148,1,500,197
149,1,497,194
150,1,496,192
151,1,497,190
152,1,496,189
153,1,496,189
154,1,496,190
155,1,496,191
156,1,496,192
157,1,495,194
158,1,495,198
159,1,495,201
160,1,494,205
161,1,493,211
162,1,493,218
163,1,492,227
164,1,492,239
165,1,492,250
166,1,491,265
167,1,491,281
168,1,490,303
169,1,488,325
170,1,488,354
171,1,486,387
172,1,485,428
173,1,482,475
174,1,480,501
175,1,498,476
176,1,532,430
177,0,0,0
178,1,588,359
179,1,610,333
180,1,630,311
181,1,648,293
182,1,664,277
183,1,679,263
184,1,692,253
185,1,706,244
186,1,718,236
187,1,726,230
188,1,737,226
189,1,746,223
190,1,755,221
191,1,763,220
