Frame,Visibility,X,Y
0,1,483,429
1,1,483,425
2,1,483,422
3,1,483,422
4,1,482,425
5,1,482,430
6,1,482,438
7,1,481,448
8,1,480,459
9,1,479,472
10,1,479,486
11,1,478,501
12,1,477,505
13,1,476,491
14,1,476,481
15,1,474,471
16,1,474,463
17,1,472,456
18,1,472,453
19,1,469,453
20,1,466,455
21,1,462,457
22,1,458,459
23,1,456,457
24,1,455,459
25,1,454,458
26,1,456,457
27,1,457,455
28,1,458,455
29,1,458,453
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,1,375,457
76,1,372,457
77,1,372,456
78,1,372,455
79,1,373,453
80,1,374,452
81,1,377,450
82,1,380,449
83,1,384,446
84,1,389,443
85,1,397,439
86,1,408,433
87,1,422,423
88,1,437,409
89,1,452,389
90,1,462,363
91,1,468,333
92,1,466,300
93,1,460,268
94,1,455,240
95,1,448,209
96,1,443,183
97,1,438,158
98,1,433,135
99,1,427,113
100,1,422,93
101,1,418,76
102,1,412,60
103,1,407,45
104,1,402,33
105,1,397,20
106,1,393,12
107,1,388,5
108,1,384,1
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,1,363,2
114,1,360,5
115,1,355,13
116,1,352,22
117,1,348,32
118,1,346,45
119,1,342,59
120,1,339,74
121,1,336,92
122,1,334,112
123,1,407,132
124,1,493,153
125,1,554,169
126,1,598,183
127,1,632,195
128,1,659,207
129,1,681,217
130,1,698,227
131,1,712,237
132,1,723,246
133,1,732,255
134,0,0,0
135,1,747,273
136,1,752,281
137,1,757,278
138,1,762,265
139,1,766,253
140,1,772,244
141,1,775,235
142,1,780,227
143,1,783,220
144,1,786,214
145,1,788,209
146,1,790,205
147,1,793,201
148,1,795,199
149,1,797,198
150,1,798,197
151,1,802,196
152,1,806,196
153,1,811,199
154,1,816,203
155,1,822,207
156,1,827,212
157,1,832,221
158,1,838,225
159,1,844,234
160,1,850,245
161,1,857,257
162,1,863,272
163,1,870,288
164,1,878,307
165,1,886,330
166,1,894,356
167,1,903,387
168,1,911,390
169,1,920,387
170,1,930,385
171,1,940,383
172,1,950,385
173,1,962,389
174,1,975,394
175,1,990,402
176,1,1006,414
177,1,1024,429
178,1,1046,449
179,1,1072,478
180,1,1101,513
181,1,1075,463
182,1,1036,399
183,1,1007,349
184,1,984,311
185,1,965,282
186,1,950,257
187,1,936,237
188,1,925,221
189,1,915,208
190,1,906,197
191,1,897,187
192,1,890,179
193,1,885,173
194,1,878,168
195,1,874,165
196,1,870,162
197,1,866,160
198,1,862,159
199,1,857,157
200,1,854,159
201,1,851,159
202,1,847,160
203,1,844,162
204,1,842,164
205,1,838,166
206,1,837,169
207,1,834,172
208,1,832,176
209,1,829,179
210,1,827,183
211,1,825,186
212,1,823,191
213,1,821,196
214,1,819,200
215,1,817,205
216,1,814,211
217,1,813,215
218,1,811,219
219,1,808,225
220,1,806,231
221,1,805,237
222,1,804,245
223,1,802,251
224,1,801,254
225,1,799,260
226,1,798,267
227,1,796,273
228,1,794,279
229,1,794,280
230,1,793,274
231,1,791,268
232,1,791,263
233,1,789,258
234,1,789,254
235,1,787,250
236,1,786,247
237,1,786,244
238,1,785,242
239,1,784,239
240,1,783,237
241,1,783,236
242,1,782,234
243,1,778,231
244,1,772,226
245,1,765,221
246,1,758,217
247,1,751,213
248,1,743,210
249,1,734,207
250,1,724,205
251,1,714,204
252,1,704,204
253,1,693,204
254,1,680,205
255,1,667,208
256,1,653,211
257,1,638,216
258,1,622,222
259,1,604,230
260,1,585,240
261,1,564,251
262,1,542,264
263,1,518,280
264,1,492,298
265,1,463,319
266,1,432,343
267,1,398,372
268,1,360,404
269,1,318,442
270,1,274,479
271,1,238,469
272,1,199,458
273,1,157,450
274,1,110,442
275,1,59,437
276,1,2,431
277,0,0,0
278,0,0,0
279,0,0,0
280,0,0,0
281,0,0,0
282,0,0,0
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
288,0,0,0
289,1,60,250
290,1,185,222
291,1,280,203
292,1,355,189
293,1,414,179
294,1,462,172
295,1,503,169
296,1,536,167
297,1,565,165
298,1,590,165
299,1,611,166
300,1,630,168
301,1,646,171
302,1,661,173
303,1,674,178
304,1,686,181
305,1,695,186
306,1,704,191
307,1,713,195
308,1,720,201
309,1,726,206
310,1,734,212
311,1,738,218
312,1,744,224
313,1,748,230
314,1,753,237
315,1,756,244
316,1,759,250
317,0,0,0
318,1,766,261
319,1,769,253
320,1,771,245
321,1,773,236
322,1,776,229
323,1,778,223
324,1,780,217
325,1,782,212
326,1,785,208
327,1,786,204
328,1,788,201
329,1,790,198
330,1,793,196
331,1,795,195
332,1,797,194
333,1,800,194
334,1,803,195
335,1,806,196
336,1,810,199
337,1,812,202
338,1,815,205
339,1,818,210
340,1,819,217
341,1,823,225
342,1,826,235
343,1,830,247
344,1,833,262
345,1,836,279
346,1,840,300
347,1,843,324
348,1,847,353
349,1,852,388
350,1,857,431
351,1,862,482
352,1,868,532
353,1,875,542
354,1,882,556
355,1,891,573
356,1,902,601
357,1,913,639
358,1,928,692
359,0,0,0
360,0,0,0
361,0,0,0
362,1,942,703
363,1,901,515
364,1,876,410
365,1,860,340
366,1,848,293
367,1,839,259
368,1,832,235
369,1,826,218
370,1,820,206
371,1,816,196
372,1,813,190
373,1,810,185
374,1,808,183
375,1,805,181
376,1,803,181
377,1,800,181
